45,1379,Fossil oil,355.200012,'"country"=>"GR", "ogc_fid"=>"3851", "visible"=>"-1", "category"=>"1", "name_all"=>"Chania", "name_eng"=>"Chania", "name_nat"=>" ", "objectid"=>"4018", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Chania", "under_construction"=>"0"',POINT(23.961182 35.487511)
46,114,Hydro mixed pump storage,384,'"country"=>"GR", "ogc_fid"=>"3853", "visible"=>"-1", "category"=>"2", "name_all"=>"Thissavros", "name_eng"=>"Thissavros", "name_nat"=>" ", "objectid"=>"4020", "duplicate"=>"1", "mb_symbol"=>"hydro_mixed", "annotation"=>"Thissavros", "under_construction"=>"0"',POINT(24.356689 41.244772)
47,1379,Fossil oil,278.799988,'"country"=>"GR", "ogc_fid"=>"3854", "visible"=>"-1", "category"=>"1", "name_all"=>"Linoperamata", "name_eng"=>"Linoperamata", "name_nat"=>" ", "objectid"=>"4021", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Linoperamata", "under_construction"=>"0"',POINT(24.927979 35.371135)
48,458,Fossil oil,250,'"country"=>"GR", "ogc_fid"=>"3855", "visible"=>"-1", "category"=>"1", "name_all"=>"Soroni", "name_eng"=>"Soroni", "name_nat"=>" ", "objectid"=>"4022", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Soroni", "under_construction"=>"0"',POINT(27.949219 36.261992)
49,124,Brown coal/Lignite,593,'"country"=>"GR", "ogc_fid"=>"3856", "visible"=>"-1", "category"=>"1", "name_all"=>"Ptolemaida", "name_eng"=>"Ptolemaida", "name_nat"=>" ", "objectid"=>"4023", "duplicate"=>"1", "mb_symbol"=>"fossil_brown_lignite", "annotation"=>"Ptolemaida", "under_construction"=>"0"',POINT(21.665039 40.488737)
50,124,Hydro pure storage,50,'"country"=>"GR", "ogc_fid"=>"3857", "visible"=>"-1", "category"=>"2", "name_all"=>"Agras", "name_eng"=>"Agras", "name_nat"=>" ", "objectid"=>"4024", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Agras", "under_construction"=>"0"',POINT(21.917725 40.663973)
51,121,Hydro pure storage,108,'"country"=>"GR", "ogc_fid"=>"3858", "visible"=>"-1", "category"=>"2", "name_all"=>"Assomata", "name_eng"=>"Assomata", "name_nat"=>" ", "objectid"=>"4025", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Assomata", "under_construction"=>"0"',POINT(22.510986 40.396764)
52,122,Hydro mixed pump storage,315,'"country"=>"GR", "ogc_fid"=>"3859", "visible"=>"-1", "category"=>"2", "name_all"=>"Sfikia", "name_eng"=>"Sfikia", "name_nat"=>" ", "objectid"=>"4026", "duplicate"=>"1", "mb_symbol"=>"hydro_mixed", "annotation"=>"Sfikia", "under_construction"=>"0"',POINT(22.401123 40.33817)
53,122,Hydro pure storage,375,'"country"=>"GR", "ogc_fid"=>"3860", "visible"=>"-1", "category"=>"2", "name_all"=>"Polyphyto", "name_eng"=>"Polyphyto", "name_nat"=>" ", "objectid"=>"4027", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Polyphyto", "under_construction"=>"0"',POINT(22.324219 40.271144)
54,110,Fossil gas,360,'"country"=>"GR", "ogc_fid"=>"3861", "visible"=>"-1", "category"=>"1", "name_all"=>"Ag. Georgios", "name_eng"=>"Ag. Georgios", "name_nat"=>" ", "objectid"=>"4028", "duplicate"=>"1", "mb_symbol"=>"fossil_coal_gas", "annotation"=>"Ag. Georgios", "under_construction"=>"0"',POINT(23.69751 37.926868)
55,114,Hydro pure storage,116,'"country"=>"GR", "ogc_fid"=>"3877", "visible"=>"-1", "category"=>"2", "name_all"=>"Platanovrisi", "name_eng"=>"Platanovrisi", "name_nat"=>" ", "objectid"=>"4044", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Platanovrisi", "under_construction"=>"0"',POINT(24.664307 41.253032)
56,116,Fossil gas,484.600006,'"country"=>"GR", "ogc_fid"=>"3878", "visible"=>"-1", "category"=>"1", "name_all"=>"Komotini", "name_eng"=>"Komotini", "name_nat"=>" ", "objectid"=>"4045", "duplicate"=>"1", "mb_symbol"=>"fossil_coal_gas", "annotation"=>"Komotini", "under_construction"=>"0"',POINT(25.367432 41.120746)
57,115,Brown coal/Lignite,330,'"country"=>"GR", "ogc_fid"=>"3879", "visible"=>"-1", "category"=>"1", "name_all"=>"Meliti", "name_eng"=>"Meliti", "name_nat"=>" ", "objectid"=>"4046", "duplicate"=>"1", "mb_symbol"=>"fossil_brown_lignite", "annotation"=>"Meliti", "tie_line_station"=>"1", "under_construction"=>"0"',POINT(21.478271 40.838749)
58,102,Hydro pure storage,160,'"country"=>"GR", "ogc_fid"=>"3880", "visible"=>"-1", "category"=>"2", "name_all"=>"Messochora", "name_eng"=>"Messochora", "name_nat"=>" ", "objectid"=>"4047", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage_cons", "annotation"=>"Messochora", "under_construction"=>"1"',POINT(21.203613 39.554883)
59,118,Fossil gas,579.799988,'"country"=>"GR", "ogc_fid"=>"3883", "visible"=>"-1", "category"=>"1", "name_all"=>"Heron", "name_eng"=>"Heron", "name_nat"=>" ", "objectid"=>"4050", "duplicate"=>"1", "mb_symbol"=>"fossil_coal_gas", "annotation"=>"Heron", "under_construction"=>"0"',POINT(23.203125 38.289937)
60,106,Fossil gas,448.5,'"country"=>"GR", "ogc_fid"=>"3886", "visible"=>"-1", "category"=>"1", "name_all"=>"Ag.Nikolaos", "name_eng"=>"Ag.Nikolaos", "name_nat"=>" ", "objectid"=>"4054", "duplicate"=>"1", "mb_symbol"=>"fossil_coal_gas", "annotation"=>"Ag.Nikolaos", "under_construction"=>"0"',POINT(22.543945 38.367502)
61,121,Fossil gas,395,'"country"=>"GR", "ogc_fid"=>"3887", "visible"=>"-1", "category"=>"1", "name_all"=>"Enthes", "name_eng"=>"Enthes", "name_nat"=>" ", "objectid"=>"4056", "duplicate"=>"1", "mb_symbol"=>"fossil_coal_gas", "annotation"=>"Enthes", "under_construction"=>"0"',POINT(22.609863 40.647304)
62,1379,Fossil oil,195.199997,'"country"=>"GR", "ogc_fid"=>"3892", "visible"=>"-1", "category"=>"1", "name_all"=>"Atherinolakkos", "name_eng"=>"Atherinolakkos", "name_nat"=>" ", "objectid"=>"4061", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Atherinolakkos", "under_construction"=>"0"',POINT(26.114502 35.074965)
63,458,Fossil oil,115,'"country"=>"GR", "ogc_fid"=>"3893", "visible"=>"-1", "category"=>"1", "name_all"=>"Kos", "name_eng"=>"Kos", "name_nat"=>" ", "objectid"=>"4062", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Kos", "under_construction"=>"0"',POINT(27.103271 36.809285)
